title,description,location,features,date,price
3 bhk furnished flat for sale nearby Akshyapatra temple,3 bhk fully  fully furnished  flat for sale available nearby Akshyapatra temple  jagatpura it includes:  Double bed with mattress  6 seater sofa with central table  Wallpaper  Curtains  RO Drawing panel  Tv panel  2 wardrobe 2 bolcony   Lift  Parking covered  Water available 24 hours  * Available at prime location in jagatpura*,"India, Rajasthan, Jaipur, Jagatpura",3 Bds - 3 Ba - 1556 ft2,2021-06-08T02:59:35+0000,"₹ 30,99,990"
Aakash India,"The ceaseless endeavor to ensure top of the line construction and commitment to timely delivery has generated immense goodwill and a pool of satisfied clients for the company. The unflinching customer centric commitment is reflected in the Aakash Greens project, which have 72 top-notch apartments that boast of aesthetic design blended with meticulous planning. To achieve such quality the company has engaged a dedicated group of qualified and experienced architects and engineers.  Address - Rd Number 15, Jahawarnagar, Mango, Jamshedpur, Jharkhand 831012  Features: COMMUNITY HALL GYMNASIUM BIG LAWN CHILDREN PLAY AREA JOGGING TRACK HIGH SPEED 8 PASSENGER LIFT 24HRS POWER BACKUP ROUND THE CLOCK SECURITY FIRE FIGHTING SYSTEM WATER HARVESTING PITS VISITORS PARKING PIPED LPG GAS CONNECTION","India, Jharkhand, Jamshedpur, Mango",,2021-05-19T09:19:13+0000,"₹ 33,00,000"
DDA flats Jasola Vihar Sector-7,"3 side open ground floor available, located at the entrance from the security. All bedrooms have bathroom attached apart from guest room. Ample parking space.","India, Delhi, Delhi, Jasola",4 Bds - 3 Ba - 1800 ft2,2021-04-08T21:29:22+0000,"₹ 2,50,00,000"
spacious & Well planned 3HK apartment for ready to move-in immediately,"Silver Castle Springs offers you ready to move-in 3BHK apartments at the best price. This RERA approved project at Mukkola near St. Thomas School has spacious & well planned layouts with Premium Fit & Finish. 3BHK apartments are of size 1560 sqft area & 1689 sqft area.  These Apartments are tailored to meet Your Highest Standards & has everything within close proximity like Schools (St. Thomas School is only 450 M away), Colleges (MAR Ivanious college is only 2.3 kms away), Hospitals & Commercial spots etc.  Bus service is available right in front of the apartment which offers easy access to other parts of the city.  3 tier security for your safety. CCTV, Security Guard & biometric access together make it a safe for you & family  Location Highlights  St.Thomas School - 500 M Mannanthala Jn, MC Road - 1 Km Mar Ivanious College - 2.3 Kms Kuravankonam - 4.5 Kms Peroorkada - 3.7 Kms Technopark - 11 Kms Intl Airport - 11 Kms Central Railway Station - 9.5 Kms  Amenities & Facilities  Solar back up for common area. Grey water treatment & Recycling. Waste Management System. Rain Water harvesting. Reticulated Gas system. Bio Metric access control. 24 x 7 Generator power back up. Kids Play Zone Wi Fi enabled lobby Stretcher Lift with ARD Roof Top Party area Fully equipped multi gym Association Hall Drivers / Servants rest room Intercom Visitor's Parking.  All major banks like SBI,CANARA BANK,HDFC,ICICI etc. have approved our project, hence availing a home loan is a hassle free process.","India, Kerala, Thiruvananthapuram, Nalanchira",3 Bds - 3 Ba - 1560 ft2,2021-06-07T05:21:34+0000,"₹ 69,50,000"
SIDHI VINAYAK  RESIDANCE  BAMUNARA  NEAR MUCHIPARA,16 FEET ROAD ELECTRIC  CONECTIUON WATER CONECTION                         SCHOOL  DELHI PUBLIC SCHOOL 3.5 K.M DURGAPUR PUBLIC 3 K.M. AMMA SCHOOL 3K.M STJAVIERS  3.7 K.M.                        BAZAR   BAMUNARA MAIN MARKET  5 00 MITERS  MUCHIPARA  MARKET  2K.M. BIDDHENNAGAR MARKET 4K.M.                       BANK  SBI  ATM  200 MITER ALL BANK  1 K.M . 	  MUCHIPARA  1.5 K.M BAMUNARA  ROAD MISSION HOSPITAL  3K.M. BIDDHEN NAGAR HOSPITAL 4 K.M GOURI DEVI HOSPITAL 5 K.M. NATION HOSPITAL 1 K.M SANAKA HOSPITAL  5 K.M. MUCHIPARA BUS STAND  2 K.M                                     RAILWAY STATION  5 K.M DURGAPUR RAILWAY STATION CITY CENTRE BUS STAND  7 K.M. ONLY  DUPLEX BUNGLOW  HOUSE,"India, West Bengal, Durgapur, Muchipara",2 Bds - 2 Ba - 750 ft2,2021-06-08T02:59:17+0000,"₹ 25,50,000"
Luxurious Budget 2Bhk Flat,"Bhabad-Towers Makhamalabad,","India, Maharashtra, Nashik, Swami Vivekanand Nagar",2 Bds - 1 Ba - 730 ft2,2021-06-08T02:58:23+0000,"₹ 21,25,000"
House for rent,"2BHK WITH DINING HALL, with fan,lights nd geyser fitted for more contact","India, Karnataka, Kolar, Kuvempu Nagar",2 Bds - 3 Ba - 1200 ft2,2021-06-08T02:58:11+0000,"₹ 13,000"
"90-95%loan very spacious 3bhk in 24.90 ,save 2.67 lacs in PMAY","2BHK  FOR SALE WITH OFFERS   IN Prime location Kharar - Ready to Move  - Price Start From 16.90 Lac  - 2Bhk + 2 Washrooms, Modular kitchen ,  Lights  - 1 Balcony  -Two Sides Open  - G+2   Concept  - Car Parking Available  - Park Available  - 24 hours Water Supply","India, Chandigarh, Chandigarh, Sector 41A",3 Bds - 2 Ba - 1380 ft2,2021-06-08T02:58:02+0000,"₹ 24,90,000"
"2BHK for 25L sale@Ambethker Cross, Hanmakonda","2BHK for 25L For sale@Ambethker Cross, Hanmakonda near to LIC office BalaSamudram Market","India, Telangana, Warangal, Balasamudram",2 Bds - 2 Ba - 850 ft2,2021-06-08T02:57:58+0000,"₹ 25,00,000"
70Gaj 2BHK House Sale 50Mtrs From Durga Mandir Banjarawala,70Gaj 2BHK House Sale 50Mtrs From Durga Mandir Banjarawala,"India, Uttaranchal, Dehradun, Banjarawala",2 Bds - 2 Ba - 800 ft2,2021-06-08T03:01:12+0000,"₹ 30,00,000"
Luxirious JDA approved 3 Bhk Duplex at Vidhyadhar Nagar sector-1,"Premium Ultra Luxirious 3 Bhk Duplex on very prime location at VidhyadharNagar, Sector-1, Sikar Road *Jaipur Railway station- 6 km *Sikar road- 1 km *Area- 90 mtr *Complete Vastu friendly *In a good community *Semi furnished with modular kitchen *80%-90% Loanable with govt. subsidy (2.67 lack) *All electrical underground *Best quality electrical fitting & wiring ensure safely & well going *Complete functional bathroom fitted with best quality bath fitments *Parking ensuring safe keep your vehicle *Separate roof right *All common facilities available near by project like School, Market, Hospital available here  For more projects details & visit site please contact *Brokers please don't call...Thanks Selected Homes","India, Rajasthan, Jaipur, Vidhyadhar Nagar",3 Bds - 3 Ba - 2100 ft2,2021-06-08T03:01:12+0000,"₹ 1,00,00,000"
"! LARGE 1 BHK FLAT AT GOODWILL BREEZZA, DHANORI AT 36 LACS ONLY.700 SQ","! LARGE 1 BHK FLAT AT GOODWILL BREEZZA, DHANORI AT 35 LACS ONLY.700 SQFT.  MOST PRIME LOCATION OF DHANORI  MOST REPUTED BUILDER  WITH ALL AMMENITIES  1 BHK AT 36 LACS  CALL IMMEDIATELY !","India, Maharashtra, Pune, Tingre Nagar",1 Bds - 1 Ba - 700 ft2,2021-06-08T03:01:11+0000,"₹ 36,00,000"
"@ELEGENT 2BHK FLAT AT GODREJ RIVERGREEN, KHARADI AT 45 LAC ONLY.900 SQ","@ ELEGENT 2 BHK FLAT AT GODREJ RIVERGREENS, KHARADI AT 45 LACS ONLY.900 SQFT  HUGE TOWNSHIP IN KHARADI  BIGGEST CARPET AREA IN THIS RANGE   MOST REPUTED BUILDER OF PUNE   2BHK – 45 LACS  WIT ALL AMMENITIES  CALL IMMEDIATELY","India, Maharashtra, Pune, Kharadi",2 Bds - 2 Ba - 900 ft2,2021-06-08T03:01:11+0000,"₹ 45,00,000"
"@LUXURIOUS 2BHK FLAT AT SHANTI SAMARTH, KHARADI AT 46 LACS ONLY.900 SQ","@LUXURIOUS 2BHK FLAT AT SHANTI SAMARTH, KHARADI AT 46 LACS ONLY.900 SQ  PRIDE LOCATION IN KHARADI  NEAR BOLLYWOOD THEATER  REPUTED BUILDER  2 BHK AT 46 LACS  CALL IMMEDIATELY !","India, Maharashtra, Pune, Kharadi",2 Bds - 2 Ba - 900 ft2,2021-06-08T03:01:11+0000,"₹ 46,00,000"
"# VALUE 2 BHK FLAT AT GOODWILL BREEZZA , DHANORI AT 45 LAC ONLY 900 SQ","# VALUE 2 BHK FLAT AT GOODWILL BREEZZA , DHANORI AT 45 LACS ONLY. 900 SQFT.  PRIME LOCATION OF DHANORI  MOST REPUTED BUILDER OF PUNE  WITH EXTRA AMMENITIES  HIGH RISING TOWERS  CALL IMMEDIATELY","India, Maharashtra, Pune, Dhanori",2 Bds - 2 Ba - 900 ft2,2021-06-08T03:01:11+0000,"₹ 45,00,000"
2 AND 3 BHK FULLY FURNISHED LUXURIOUS APARTMENTS IN THRISSUR,The Project is ideally located between Thrissur and Cochin International Airport on Mannuthy – Nadathara Road with easy accessibility of Just 750 meters to NH 47.  Common Amenities  Roof Garden  Indoor Game Area  Party Hall  Children's Play Area  Pro Differently Abled Architecture  Biobin & STP  BANK LOAN AVAILABLE,"India, Kerala, Thrissur, Manuti",2 Bds - 2 Ba - 790 ft2,2021-06-08T03:01:11+0000,"₹ 25,99,999"
"2 AND 3 BHK LUXURIOUS FLATS IN MANUTI,THRISSUR",Elegant Apartment project offering 2 and 3 BHK in a peaceful surrounding befitting an ideal family life. The Project is ideally located between Thrissur and Cochin International Airport on Mannuthy – Nadathara Road with easy accessibility of Just 750 meters to NH 47.  Common Amenities   Roof Garden  Indoor Game Area  Party Hall Children's Play Area  Pro Differently Abled Architecture  Biobin & STP,"India, Kerala, Thrissur, Manuti",3 Bds - 3 Ba - 1235 ft2,2021-06-08T03:01:11+0000,"₹ 40,99,999"
2bhk flat at near aTaljai,2bhk flat new modern amenities close to city area 2.5km from Tilak road location Dhankawdi,"India, Maharashtra, Pune, Sahakar Nagar",2 Bds - 2 Ba - 1020 ft2,2021-06-08T03:01:10+0000,"₹ 82,00,000"
3bhk hill view villas vattiyoorkavu puliyarakonam,4 cent 1000 sqft 3bhk villas vattiyoorkavu puliyarakonam  Nihara homes  Price 35 lakhs   വട്ടിയൂർകാവ് നിന്നും 5 km മാറി പുളിയറകോണം  കാവിൻപുറം. തിരുമല route ൽ നിന്നും 3.5 km പേയാട് കൊല്ലംകോണം കാവിൻപുറം.main road ൽ നിന്നും 500. Meeter മാറി 4 cent ൽ 1000 sqft 3bedroom bathattached 1 car parking സൗകര്യം ഉള്ള വടക്ക് ദർശനം ഉള്ള villa house വില്പനക്ക്.5 meeter tar road frontage സൗകര്യം ഉള്ളതും വളരെ calm and quite area. School.collage. hospitals super markets എല്ലാം 1 km ചുള്ളളവിൽ. 90% loan available for eligible buyers,"India, Kerala, Thiruvananthapuram, Vattiyoorkavu",3 Bds - 3 Ba - 1000 ft2,2021-06-08T03:01:10+0000,"₹ 34,00,000"
2bhk small family budget near thirumala perukavu,Nihara homes  Price                    30 lakhs  Contact              Nihara builders   Location            Thirumala perukavu  Land                     3. 1 cent  Sqft                        850  Bhk                         2bedrooms specious with wardrops  Washroom         2  Parking                1  Facing                   west   Main road           300 meeter  Area                          residential community  Road                         5 meeter wide tar road frontage  Loan                         90 % housing loan                                      ( 6.8 interest rate)  More details contact nihara homes Thankyou,"India, Kerala, Thiruvananthapuram, Thirumala",2 Bds - 2 Ba - 850 ft2,2021-06-08T03:01:10+0000,"₹ 30,00,000"
Near main road vattiyoorkavu road,തിരുമലയിൽ നിന്നും 4 km മാറി പേയാട് നിന്നും vattiyoorkavu പോകുന്ന വഴിക് main road ൽ നിന്നും 50 meeter മാറി 4 cent ൽ 1600 sqft 3bhk വരുന്ന വീട് വില്പനയ്ക് 80 % loan available,"India, Kerala, Thiruvananthapuram, Thirumala",3 Bds - 3 Ba - 1650 ft2,2021-06-08T03:01:10+0000,"₹ 49,00,000"
Main road side villas,Amound  70 lakhs(slightly negotiable)  Location  thirumala thachottukavu karipoor (near main road 50 meeter only)  Facing    North  Cent    4.1  Sqft     2100  Bedroom   4  Washroom   4  2 car parking facility  Very highly residential area  Bor Well and corporation water facility  Fully vasthu based plan   80% loan available for eligible   Amound  70 lakhs( with Roofing ;car porch and window curten),"India, Kerala, Thiruvananthapuram, Thirumala",4 Bds - 4 Ba - 2100 ft2,2021-06-08T03:01:10+0000,"₹ 69,00,000"
2 AND 3 BHK LUXURIOUS FLATS IN THRISSUR,"Elegant Apartment project offering 2 and 3 BHK in a peaceful surrounding befitting an ideal family life. The Project is ideally located between Thrissur and Cochin International Airport on Mannuthy – Nadathara Road with easy accessibility of Just 750 meters to NH 47.  Why should invest in Mannuthy, Thrissur?  Real estate is one of the sunshine sectors of Thrissur's economy. Image of a clean and green city, good law and order situation, presence of reputed educational institutions and tremendous scope for promoting tourism industry are the pillars of Thrissur's real estate hopes. Therefore city becoming more and more congested day-by-day, in due course of time the Mannuthy is expected to see a spurt in the number of property buyers.  The Mobility hub nerve center of Development on Cochin – Palakkad highway, Which is the most developed suburban area of Thrissur. Mannuthy is also a center for many of the government and private educational institutions.  Common Amenities   Roof Garden  Indoor Game Area  Party Hall  Children's Play Area  Pro Differently Abled Architecture  Biobin & STP  BANK LOAN AVAILABLE","India, Kerala, Thrissur, Manuti",2 Bds - 2 Ba - 790 ft2,2021-06-08T03:01:10+0000,"₹ 25,99,999"
3BHK STAND ALONE,"EXCLUSIVE FLATS AVAILABLE IN BEHALA MENTON. JEMES LONG SARANI SIZE 1050 SQ FEET 3BHK SUPER BUILT UP AREA . ITS A NEW AND WELL MAINTAINED PROPERTY & WELL CONNECTED MARKETS, HOSPITAL, SCHOOL ,COLLEGE, UP COMMING METRO ARE NEARBY","India, West Bengal, Kolkata, Behala Manton",3 Bds - 2 Ba - 1050 ft2,2021-05-31T05:55:13+0000,"₹ 37,80,000"
CLOSE TO KERALA VARAM COLLEGE THRISSUR TOWN 3BHK INDEPENDENT  VILLA,RERA NOT APPLICABLE  YOUR CHOICE OF VILLA  STYLE THRISSUR TOWN   MAJOR BANK APPROVED PROJECT    MEGA OFFER !! HURRY UP!!  FOR MORE IMAGES AND DETAILS 9600CALL905817,"India, Kerala, Thrissur, Ayyanthole",3 Bds - 3 Ba - 2000 ft2,2021-05-12T06:50:32+0000,"₹ 70,00,000"
Home selling,20*40 ka h.. or nottry ka restry ho jayegi  Bhavani Nagar sawer road,"India, Madhya Pradesh, Indore, Ujjain Road",2 Bds - 2 Ba - 800 ft2,2021-06-08T02:50:30+0000,"₹ 18,00,000"
2 bhk for sale with Finance loan facility in Wadgaon sheri,"2 bhk for sale in wadgaon sheri Mauli apartment Offering a fantastic view and surroundings, this flat is very spacious and gets ample light and cross ventilation. The flat has No/Rare Powercut & 24 Hours Available. It has Granite, Vitrified flooring and has all the amenities like, Parking, Security and ext for more details please call","India, Maharashtra, Pune, Wadgaon Sheri",2 Bds - 2 Ba - 1000 ft2,2021-06-08T02:50:15+0000,"₹ 45,00,000"
Calm&cool place,Build a new house,"India, Kerala, Peermade, Kuttikanam",4 Bds - 2 Ba - 1100 ft2,2021-06-08T02:50:14+0000,"₹ 30,00,000"
2 bhk im gayed complex with parking lift swim pool  security camera,2 bhk unused appartment in gated complex in Cross Road Elite with amenities,"India, Goa, Margao, Fatorda",2 Bds - 2 Ba - 99 ft2,2021-06-08T02:50:02+0000,"₹ 60,00,000"
New 1bhk for sale with Finance loan facility walking distance from eon,"Brand New 1bhk for sale with Finance loan facility walking distance from eon it park kharadi Offering a fantastic view and surroundings, this flat is very spacious and gets ample light and cross ventilation. The flat has No/Rare Powercut & 24 Hours Available. It has Granite, Vitrified flooring and has all the amenities like, Parking, Security and ext for more details please call","India, Maharashtra, Pune, Kharadi",1 Bds - 1 Ba - 577 ft2,2021-06-08T02:49:37+0000,"₹ 23,75,000"
Well maintained house,7 cent plot and house,"India, Kerala, Kottayam, Ponkunnam",2 Bds - 1 Ba - 1000 ft2,2021-06-08T02:49:29+0000,"₹ 8,50,000"
Portuguese house plot area 1350 meter 300 meter built up near Lake,1350 sq meter plot area built up 300 marble on floor renovated ceiling tiles with compound lake near by n field view,"India, Goa, Chinchinim, Bahida",4+ Bds - 2 Ba - 1350 ft2,2021-06-08T02:48:59+0000,"₹ 1,40,00,000"
In parvati gaon,1rk flat for sale,"India, Maharashtra, Pune, Parvati",,2021-06-08T02:48:44+0000,"₹ 25,00,000"
Everjoy Kaumudhi,"This lovely 2 bhk apartment is for sale at only 46 lakhs. Situated on the second floor this home can comfortably serve your parking facilities for car and bike needs. This east facing home is about 900 square feets with 2 balconies and is in a convenient location. It is just 200 metres from the bus stop and near ICICI Bank Uttarahalli. With amenities such as security and an elevator, this home offers you a lot of convenience.","India, Karnataka, Bengaluru, Uttarahalli Main Road",2 Bds - 2 Ba - 900 ft2,2021-05-26T11:27:40+0000,"₹ 46,00,000"
1 BHK flat for sale,1 BHK flat for sale in Taloja Prime location Metro walking distance hospital School market walking distance station Kharghar 10 minutes Central Park 10 minutes,"India, Maharashtra, Navi Mumbai, Taloja",1 Bds - 2 Ba - 650 ft2,2021-05-18T20:37:34+0000,"₹ 30,00,000"
1bhk flat for sale,1bhk flat for sale in new building rera Ragister property G+27 story building cidco tender plot dighe -airoli.,"India, Maharashtra, Navi Mumbai, Dighe",1 Bds - 2 Ba - 675 ft2,2021-05-15T10:13:54+0000,"₹ 84,00,000"
Brand new 1bhk flat for sale with finance home loan facility,"वडगाव शेरी परिसरातील सर्वात स्वस्त ब्रँड न्यू  1 BHK, 579 sqft कॉमन पार्किंग.  24.25 लाखांत (पंतप्रधान आवास योजना अनंतर्गत) हक्काचे घर. रू 80 ते 85% लोनउपलब्ध (प्रायव्हेट फायनान्स) *लोकेशन -  *मदर टेरेसा स्कूल पासून 2 मिनिटाच्या अंतरावर, वडगाव शेरी पुणे","India, Maharashtra, Pune, Wadgaon Sheri",1 Bds - 1 Ba - 579 ft2,2021-06-08T02:48:35+0000,"₹ 24,25,000"
Newly constructed 3 floor house,Good parking  Silent area  In separate layout  Good environment  3 floor  Ground one single bed room home  1 st floor 2 bed room home  3 rd floor attached bathroom room,"India, Karnataka, Kunigal, Chowdeshwari",2 Bds - 2 Ba - 3040 ft2,2021-06-08T02:47:51+0000,"₹ 85,00,000"
Proper in singrauli not in waidhan,My personal self assist home,"India, Madhya Pradesh, Singrauli, Lig Colony",4+ Bds - 4+ Ba - 3500 ft2,2021-06-08T02:47:36+0000,"₹ 75,00,000"
Flat for sail,Flat for sail,"India, Delhi, Delhi, Chattarpur",3 Bds - 3 Ba - 1500 ft2,2021-06-08T02:47:24+0000,"₹ 68,00,000"
100 yds brand new 4 BHK New Raghubir park jassian rd nr sangam palace,100 yards brand new 4 BHK New Raghubir park jassian road nr sangam palace by Debbie,"India, Punjab, Ludhiana, Badi Haibowal",4 Bds - 4 Ba - 900 ft2,2021-06-08T02:47:22+0000,"₹ 43,00,000"
3 BHK 50 yrds double storey jhandu colony  chudpur haibowal,3 BHK 50 full double storey in jhandu colony rajan estate chudpur rd haibowal,"India, Punjab, Ludhiana, Badi Haibowal",3 Bds - 3 Ba - 50 ft2,2021-06-08T02:47:12+0000,"₹ 25,00,000"
New 1bhk with finance loan facility in wadgaon sheri,"Swasti appartments Offering a fantastic view and surroundings, this flat is very spacious and gets ample light and cross ventilation. The flat has No/Rare Powercut & 24 Hours Available. It has Granite, Vitrified flooring and has all the amenities like, Parking, Security and ext for more details please call","India, Maharashtra, Pune, Wadgaon Sheri",1 Bds - 1 Ba - 585 ft2,2021-06-08T02:47:01+0000,"₹ 27,75,000"
140 yards brand new full double 4 BHK  raghubir park nr Dukhniwaran,140 yards brand new full double 4 BHK 80 lakh demand raghubir park nr Dukhniwaran,"India, Punjab, Ludhiana, New Tagore Nagar",4 Bds - 4 Ba - 180 ft2,2021-06-08T02:46:58+0000,"₹ 80,00,000"
40k per yard 200 yards plot sale Mayur vihar nr Rishi Nagar hambran rd,200 yards plot for sale in Mayur vihar nr Rishi Nagar hambran rd,"India, Punjab, Ludhiana, Rishi Nagar",1 Bds - 1 Ba - 200 ft2,2021-06-08T02:46:40+0000,"₹ 40,000"
134 yards 4 BHK house for sale in Durgapuri Decent location & approach,134 yards 4 BHK house for sale in Durgapuri Decent location & approach,"India, Punjab, Ludhiana, Durgapuri",4 Bds - 3 Ba - 134 ft2,2021-06-08T02:46:30+0000,"₹ 44,00,000"
"1Bhk Furnish Flat On Resell in Janki resi,Jahangirabad canal road.",1st flor & Garden facing flat. east west entry..  well & good conditions Road side flats for resell.,"India, Gujarat, Surat, Jahangir Pura",1 Bds - 1 Ba - 665 ft2,2021-06-08T02:46:15+0000,"₹ 23,99,000"
Full Loan Residential house 92Gaj 2BHK House Sale Sainik Colony,Full Loan Residential house 92Gaj 2BHK House Sale Sainik Colony Mothrowala,"India, Uttaranchal, Dehradun, Banjarawala",2 Bds - 2 Ba - 1000 ft2,2021-06-08T02:46:14+0000,"₹ 36,00,000"
2BHK House Sale DSP Chok Badowala 80Gaj 90%Loan Available,2BHK House Sale DSP Chok Badowala 80Gaj 90%Loan Available,"India, Uttaranchal, Dehradun, Badowala",2 Bds - 2 Ba - 800 ft2,2021-06-08T02:46:14+0000,"₹ 26,00,000"
112Gaj 2Bhk House Sale Shanti Vihar Phase 2 Ajabpur Near Mahindra,112Gaj 2Bhk House Sale Shanti Vihar Phase 2 Ajabpur Near Mahindra Showroom,"India, Uttaranchal, Dehradun, Ajabpur",2 Bds - 2 Ba - 1200 ft2,2021-06-08T02:46:14+0000,"₹ 52,00,000"
"@ LAVISH 3 BHK FLAT AT VTP PEGASUS, KHARADI AT 65 LACS ONLY.1200 SQ","@ LAVISH 3 BHK FLAT AT VTP PEGASUS, KHARADI AT 65 LACS ONLY.1200 SQFT  BIGGEST TOWNSHIP OF KHARADI !!! 103 ACRES   PREMIUM AMENITIES LIKE HORSE RIDING,  CRICKET GROUND ETC.  MIVAN CONSTRUCTION  3BHK  AT 65 LACS  CALL IMMEDIATELY !","India, Maharashtra, Pune, Magarpatta City",3 Bds - 3 Ba - 1200 ft2,2021-06-08T02:46:14+0000,"₹ 65,00,000"
